hemat	Jaga
hina 	Rendah dan keji
hinjit	Banyak perintah
henyah	Halau
lebat	Banyak buah
lebar	Bunyi benda besar terjun dalam air
laberang	Tali yang meregang kiri kanan tiang kapaln supaya menguatkan
lebak	Bunyi buah gugur
lebam	Merah kehitam-hitaman
leban	Nama sejenis pokok ditepi laut
lebau	Pukul
lebu	Debu
lebur	Hancur
lebus	Bunyi benda telus kebawah
lebuk	Bunyi buah atau barang bulat gugur ketanah
lebun	Rosak
lebih	Mengatas pada bilangan atau kadar
lebai	Lebai
lebik	Bunyi dipukul ditengah belakang atau benda lembut jatuh ketanah
labbaik	Menurut perintah
leta	Rusak 
letas	Bunyi cemati
letas-letus	Bunyi meletup kecil-kecil
letap	Bunyi patah ranting atau dahan kecil
letur	Bakar bnyak-banyak seperti panas
letup	Bunyi seperti bedil
letik	Bunyi halus seperti cicak
lerai	Ceraikan orang berkelahi
las	Batu penggilap
lesap	Hilang ghaib
lesu	Lemah-lemah rasa badan
lesung	Tempat menumbuk 
lesi	Kutuk
loghat	Bahasa
lengas	Keluar air lekit daripada batang atau kulit
langsat	Sejenis duku
langsi	Tirai
lengkuas	Sejenis Jahe
mabuk	Hilang ingatan
mata	Mata
majal	Tumpul
macam	Jenis bagi macam-macam
maju	Mara kehadapan
madat	Candu
madam	Perempuan baik-baik
madu	Manisan lebah
madah	Kata
marak	Menyala besar
marah	Panas hati
maruh	Pukul
mari	Panggil
masak	Sudah matang pada buah
masam	Rasa yang menjadikan kerut dimuka
masin	Rasa garam
masih	Ada lagi
mangas	Nama kayu
mangus	Dapat bernafas
mapar	Rata
maki	Kata nista
malang	Celaka
malap	Tiada bernyala
malung	Nama ikan
nadi	Urat yang bergerak
nara	Orang perkasa
nasi	Beras yang dimasak dengan air
nangoi	Ibu babi
napuh	Rusa kecil
nakal	Tiada tahu
naga	Ular yang besar dalam lautan 
nanar	Gila
nanah	Darah yang menjadi busuk
nahak	Hendak sangat
naib	Timbalan
naik	Pergi keatas
najis	Apa-apa benda kotor
nakhoda	Kapten
nazar	Doa yang dipesertakan dengan janji
neraca	Timbangan
nirmala	Kayu atau mala sendiri
nista	Hamun
nazam	Karangan pujian
nikmat	Karunia tuhan
nak	Ringkasan dari kata hendak
noktah	Titik
nikah	Perhubungan yang menjadikan laki bini dengan halal
negara	Negeri bagi bilangan banyak
negeri	Tempat yang besar daripada daerah
nombor	Bilangan
nampak	Kelihatan
nanti	Tunggu
nawab	Naib
notis	Pemberitahuan
nur	Cahaya
nelayan	Kerja menangkap ikan
niat	Maksud dalam hati
nipah	Jenis pokok rumbia yang kecil bertumbuh ditepi laut
nilam	Permata biru
nilai	Taksir harga
ninis	Berair bagi luka
nenek	Bapa atau ibu kepada datuk
niur	Kelapa
